id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
1,Gnews,https://www.devdiscourse.com/article/law-order/3039288-chinese-consul-general-commends-indian-coast-guard-for-lifesaving-rescues,Chinese Consul General Commends Indian Coast Guard for Lifesaving Rescues,"Chinese Consul General in Mumbai, Kong Xianhua, praised the Indian Coast Guard for its lifesaving efforts in rescuing Chinese mariners. Kong emphasized the historical ties between India and China, recalling mutual assistance during wartimes and stressing the importance of current collaborations in strengthening friendship between the two nations.",2024-08-02 05:02:12,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/imagegallery/03_03_2020_19_04_32_3060217.jpg?width=920&format=jpeg,Devdiscourse,3.8544688291904245e-17,2,20,61,2,15
2,Gnews,https://www.ndtv.com/india-news/unga-president-says-india-lifted-800-million-people-out-of-poverty-simply-by-smartphone-6244285,"India Lifted 800 Million People Out Of Poverty ""Simply By Smartphone"": UNGA","Stressing the use of digitisation for rapid development, the President of the 78th session of the UN General Assembly, Dennis Francis, lavished praise on India for its work in this direction, which has lifted 800 million out of poverty.",2024-08-02 01:51:42,https://c.ndtvimg.com/phone-generic_625x300_1528342767189.jpg,NDTV News,4.544016904023301e-05,15,35,130,12,61
3,Gnews,https://www.news18.com/india/assam-rifles-to-be-deployed-in-terror-wracked-jammu-for-the-first-time-some-troops-withdrawn-from-manipur-8987211.html,"Assam Rifles to Be Deployed in Terror-wracked Jammu for The First Time, Some Troops Withdrawn from Manipur",Lieutenant General Vikas Lakhera on Wednesday took over as the 22nd director general of the Assam Rifles,2024-08-01 22:09:38,https://images.news18.com/ibnlive/uploads/2024/08/assam-rifles-2024-08-1a747791d2a9ab0c6673144d1e85ca85-16x9.jpg?impolicy=website&width=1200&height=675,News18,4.061301472225338e-86,10,23,114,2,60
4,Gnews,https://www.livemint.com/industry/supreme-court-tushar-mehta-psu-mineral-rights-coal-india-d-y-chandrachud-india-cements-mmdr-act-royalties-11722427020698.html,Centre opposes retrospective application of SC ruling on mining royalty case,"Solicitor General Tushar Mehta said that the SC ruling of 25 July, which grants states the power to tax mineral rights and mineral-bearing land, could impose a financial burden of ₹70,000-80,000 crore on public sector units (PSUs) if applied retrospectively.",2024-07-31 19:35:59,https://images.livemint.com/img/2024/07/31/1600x900/tushar_1566497150832_1722434650377.jpg,Livemint,1.5546390455169728e-18,29,61,309,16,159
5,Gnews,https://www.indiatvnews.com/sports/cricket/former-indian-cricketer-anshuman-gaekwad-passes-away-at-71-after-long-battle-with-cancer-2024-07-31-944626,Former Indian cricketer Anshuman Gaekwad passes away at 71 after long battle with cancer,"'My deepest condolences to the family and friends of Mr Aunshuman Gaekwad. Heartbreaking for the entire cricket fraternity. May his soul rest in peace,' the BCCI general secretary Jay Shah confirmed Anshuman Gaekwad's demise.",2024-07-31 18:16:51,https://resize.indiatvnews.com/en/resize/newbucket/1200_-/2024/07/whatsapp-image-2024-07-31-at-23-1722449730.jpeg,India TV News,0.6502080735648568,4,22,116,18,35
6,Gnews,https://www.indiatvnews.com/news/india/aaj-ki-baat-rahul-gandhi-caste-parliament-session-2024-lok-rajya-sabha-wayanad-landslides-deaths-delhi-coaching-centre-incident-latest-updates-2024-07-31-944602,"Aaj Ki Baat: Full episode, July 31, 2024","India's number one and most followed Super Prime Time News Show, ‘Aaj Ki Baat-Rajat Sharma Ke Saath' was launched just before the 2014 general elections.",2024-07-31 15:37:31,https://resize.indiatvnews.com/en/resize/newbucket/1200_-/2024/07/aaj-ki-baat-image-1722439406.jpg,India TV News,5.3225674050761944e-20,5,9,74,2,13
7,Gnews,https://www.firstpost.com/explainers/firstup-rahul-priyanka-landslide-hit-wayanad-last-date-it-returns-the-news-today-13798818.html,"FirstUp: Rahul, Priyanka to visit landslide-hit Wayanad, last date to file IT returns… The news today","Congress leaders Rahul Gandhi and Priyanka Gandhi are expected to visit Kerala’s Wayanad, where massive landslides have claimed more than 90 lives. His party is also likely to hold its Parliamentary Party general body meeting at 10 am. Today is also the last date to file income tax returns",2024-07-31 00:30:47,"https://images.firstpost.com/uploads/2024/07/PTI07_25_2024_000213B-1-2024-07-6b6e98dd3a4616d57cf031189df93d9b.jpg?im=FitAndFill=(1200,675)",Firstpost,2.0384964366838256e-18,34,80,477,26,208
8,Gnews,https://www.devdiscourse.com/article/politics/3035988-congress-advocates-for-caste-census-amid-bjp-rss-criticism,Congress Advocates for Caste Census Amid BJP-RSS Criticism,The Congress has called for a caste census and criticized the BJP-RSS for questioning Rahul Gandhi's caste. Both Congress President Mallikarjun Kharge and General Secretary Priyanka Gandhi Vadra emphasized the need for socio-economic data to ensure equal opportunities for marginalized groups. They accused the Modi government of denying this vital information.,2024-07-30 18:20:45,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/imagegallery/27_05_2019_12_10_51_4304562.jpg?width=920&format=jpeg,Devdiscourse,1.1229455922830918e-61,0,12,59,1,19
9,Gnews,https://indianexpress.com/article/world/trumps-major-ad-attacking-harris-hits-her-on-immigration-9485500/,Trump’s first major ad attacking Harris hits her on immigration,The Trump campaign had spent months laying the groundwork for a brutal general election campaign against President Joe Biden casting him as mentally diminished and weak but his last-minute withdrawal this month has upended the dynamics of the race.,2024-07-30 18:01:31,https://images.indianexpress.com/2024/07/Untitled-design-23-4.jpg,The Indian Express,0.03226083110844071,34,53,249,28,142
10,Gnews,https://www.indiatvnews.com/news/world/pakistan-imran-khan-hints-willingness-to-talk-with-pakistan-army-says-never-made-accusations-only-criticsm-2024-07-30-944401,"Pakistan: Imran Khan hints willingness to talk with army, says never made accused, only criticised","Imran Khan emphasised that no one should be taught that the military has always been without fault. He also pointed out that General Ziaul Haq was responsible for the execution of former Prime Minister Zulfikar Ali Bhutto, and that General Yahya Khan bore responsibility for the fall of Dhaka.",2024-07-30 13:09:45,https://resize.indiatvnews.com/en/resize/newbucket/1200_-/2024/06/AP06_27_2024_000355B.jpg,India TV News,0.5620833268298513,19,31,150,23,78
