id,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count,apiname
1,https://www.news9live.com/health/health-conditions/expert-lists-most-common-liver-diseases-in-india-2506265,Expert lists most common liver diseases in India - News9 LIVE,"Over the years, the number of patients who succumb to chronic liver disease/cirrhosis has been increasing inspite of improvements in health care delivery. Liver diseases account not only for the mortality, but also disability associated life years (DALYs) in …",2024-04-21 10:25:27,https://images.news9live.com/wp-content/uploads/2024/04/liver-health.jpg,News9live.com,2.9355758643370925e-29,37,73,289,9,127,
2,https://english.mathrubhumi.com/features/technology/new-whatsapp-feature-update-1.9501175,New WhatsApp feature will let you respond quickly to status updates in future - Mathrubhumi English,"New Delhi: Meta-owned WhatsApp is reportedly testing a new feature that will allow users to react quickly to status updates on Android. According to WABetaInfo, the ""quick reaction feature for status updates"" is set to release for a future update of the app.W…",2024-04-21 09:30:04,https://english.mathrubhumi.com/image/contentid/policy:1.7014871:1644566492/image.jpg?$p=0f6e831&f=16x9&w=1080&q=0.8,Mathrubhumi.com,3.6748895254178904e-16,9,15,69,4,37,
3,https://www.hindustantimes.com/india-news/mk-stalin-attacks-bjp-over-saffron-doordarshan-logo-says-such-fascism-101713688777720.html,"MK Stalin attacks BJP over 'saffron' Doordarshan logo, says 'such fascism...' - Hindustan Times","MK Stalin claimed that Tamil saint poet Tiruvalluvar was ""saffronised"". | Latest News India",2024-04-21 08:48:37,https://www.hindustantimes.com/ht-img/img/2024/04/21/1600x900/PTI04-19-2024-000034B-0_1713688906709_1713688936939.jpg,Hindustan Times,0.03278647483537326,18,26,136,18,74,
4,https://www.hindustantimes.com/cricket/dinesh-karthik-has-unrealistic-t20-world-cup-expectations-and-he-has-to-learn-to-let-it-go-101713688043341.html,Dinesh Karthik has unrealistic T20 World Cup expectations and he has to learn to let it go - Hindustan Times,"Dinesh Karthik can run hard between the wickets and launch the ball deep into the stands, but it’s not enough! | Cricket",2024-04-21 08:44:08,https://www.hindustantimes.com/ht-img/img/2024/04/21/1600x900/CRICKET-IND-IPL-T20-BENGALURU-HYDERABAD-50_1713688330742_1713688341920.jpg,Hindustan Times,0.9808810735039522,62,58,195,51,131,
5,https://www.timesnownews.com/technology-science/science/280-foot-asteroid-alert-by-nasa-check-speed-distance-from-earth-more-article-109473968,"280-Foot Asteroid Alert By NASA: Check Speed, Distance From Earth, More - Times Now",NASA has alerted about a massive 280-foot asteroid which is set to make a close approach towards Earth. Know all the details.,2024-04-21 08:24:23,"https://static.tnn.in/thumb/msid-109474219,thumbsize-51866,width-1280,height-720,resizemode-75/109474219.jpg",Zoom,0.008909320081621513,18,30,108,15,47,
6,https://www.news9live.com/science/jovian-moon-revealed-junos-flybys-uncover-ios-lake-of-fire-2506337,Jovian moon revealed: Juno’s flybys uncover Io’s Lake of Fire - News9 LIVE,"NASA’s Juno spacecraft, during close flybys of Jupiter’s moon Io, captured stunning imagery that revealed two remarkable features: a towering mountain and an eerily smooth lake of cooling lava. These discoveries shed light on the moon’s volcanic activity and …",2024-04-21 08:09:39,https://images.news9live.com/wp-content/uploads/2024/04/Lake-of-Fire-Io.jpg,News9live.com,1.7599960473146527e-31,13,55,164,4,66,
7,https://www.news18.com/cricket/ipl-2024-dc-vs-srh-record-total-head-abhishek-shahbaz-fraser-mcgurk-delhi-capitals-sunrisers-hyderabad-highlights-8860124.html,"IPL 2024: Travis Head, T Natarajan Star as Sunrisers Hyderabad Outclass Delhi Capitals in High-scoring Cont - News18","SRH, riding high on another belligerent show with the bat, outclass DC by 67 runs to move to 2nd spot in IPL points table.",2024-04-21 07:38:44,https://images.news18.com/ibnlive/uploads/2024/04/srh-vs-dc-ipl-2024-2024-04-d9ea568c0fae080165d86ead7769d99a-16x9.jpg?impolicy=website&width=1200&height=675,News18,0.0160066803758773,33,45,236,31,118,
8,https://news.abplive.com/technology/gadgets/boat-storm-call-3-launched-price-in-india-specifications-features-availability-1681568,"Boat Storm Call 3 With Up To 7 Days Of Battery Life Launched In India: Check Price, Specifications - ABP Live","The Boat Storm Call 3 smartwatch has been launched at an introductory price of Rs 1,099.",2024-04-21 07:12:06,https://feeds.abplive.com/onecms/images/uploaded-images/2024/04/21/cc8d4c18859cc86b5230c4ab428c55e21713683491941555_original.png?impolicy=abp_cdn&imwidth=1200,Abplive.com,2.5036464960083722e-06,12,39,137,14,42,
3051,https://www.voetbalnieuws.be/news/790272/degryse-een-geweldige-transfer-voor-aa-gent/,"Degryse: ""Een geweldige transfer voor AA Gent""",,2024-08-29 04:24:00,https://www.voetbalimages.be/media/fotos/full/vieren-AA-Gent-28-08-2024.jpg,voetbalnieuws,8.525608325772186e-115,1,32,159,1,19,Newsdata
10,https://www.crictracker.com/cricket-match-predictions/ipl-2024-match-36-kkr-vs-rcb-match-prediction-who-will-win-todays-ipl-match-between-kkr-vs-rcb-/,"IPL 2024: Match 36, KKR vs RCB Match Prediction – Who will win today’s IPL match between KKR vs RCB? - CricTracker","The Indian Premier League 2024 will continue its breathtaking action as Kolkata Knight Riders (KKR) and Royal Challengers Bengaluru (RCB) will take on each other in Match 36 on Sunday, April 21 at Ede",2024-04-21 07:00:00,https://media.crictracker.com/media/attachments/1713614436757_rcb-vs-kkr.jpeg,Crictracker.com,6.505915113722852e-09,15,33,256,15,65,
